Rank,Word,Count
1,beer,61758
2,s,43154
3,head,36440
4,taste,31825
5,t,30852
6,chocolate,29085
7,dark,28210
8,like,27692
9,coffee,25573
10,bourbon,22433
11,sweet,22417
12,nice,21975
13,good,20801
14,vanilla,18405
15,carbonation,18154
16,flavor,18074
17,light,17513
18,great,17431
19,orange,17284
20,notes,17191
21,bottle,17074
22,bit,16730
23,aroma,16729
24,nose,16523
25,finish,16445
26,glass,15979
27,citrus,15745
28,smooth,15654
29,smell,15507
30,black,15466
31,little,15362
32,fruit,15328
33,pours,15249
34,m,15032
35,medium,14914
36,overall,14866
37,mouthfeel,14595
38,malt,13822
39,lacing,13608
40,body,13538
41,flavors,13484
42,brown,12720
43,hops,12692
44,alcohol,12679
45,thick,12653
46,white,12635
47,poured,12058
48,stout,11724
49,bitterness,11657
50,best,11633
51,color,11624
52,hop,11557
53,feel,11242
54,bitter,10647
55,creamy,10629
56,barrel,10461
57,o,10428
58,sweetness,10358
59,big,10255
60,oak,10036
61,grapefruit,9926
62,tropical,9723
63,ve,9500
64,caramel,9333
65,ipa,8888
66,balanced,8754
67,4,8682
68,dry,8341
69,pine,8309
70,rich,8243
71,beers,7970
72,hazy,7807
73,5,7741
74,drink,7695
75,time,7566
76,fresh,7407
77,mango,7322
78,perfect,7315
79,slightly,7311
80,strong,7231
81,roasted,7182
82,better,7163
83,pineapple,7100
84,slight,7014
85,definitely,6968
86,bodied,6889
87,finger,6843
88,smells,6754
89,palate,6749
90,way,6727
91,amazing,6633
92,fruits,6628
93,lots,6588
94,thin,6518
95,mouth,6372
96,complex,6357
97,balance,6307
98,malts,6246
99,juicy,6187
100,abv,6127
101,maple,6122
102,try,6104
103,pretty,6093
104,pour,6043
105,hint,5942
106,sour,5868
107,appearance,5698
108,brew,5562
109,end,5475
110,heavy,5350
111,delicious,5349
112,think,5322
113,2,5247
114,touch,5204
115,style,5100
116,deep,5075
117,tan,5053
118,super,5048
119,huge,5041
120,quickly,5009
121,hype,4997
122,lot,4991
123,golden,4979
124,excellent,4954
125,right,4939
126,sugar,4881
127,love,4858
128,fruity,4725
129,12,4694
130,high,4642
131,molasses,4640
132,snifter,4612
133,retention,4607
134,sip,4594
135,juice,4543
136,aromas,4529
137,1,4525
138,look,4417
139,cinnamon,4413
140,moderate,4400
141,lemon,4378
142,don,4373
143,tastes,4348
144,boozy,4343
145,aged,4330
146,fantastic,4279
147,3,4271
148,sticky,4249
149,hoppy,4227
150,tart,4211
151,booze,4173
152,worth,4167
153,favorite,4159
154,small,4150
155,mild,4148
156,got,4130
157,comes,4118
158,soft,4110
159,drinking,4095
160,wine,4071
